id,created_at,text
609749906522284032,2015-06-13 15:51:20,RT @haligonia: Life | @HelloDartmouth: Urban Garden: Getting “Back To Our Roots” http://t.co/ENutJZYMOZ http://t.co/cGOOz0OP7M
608721402628329476,2015-06-10 19:44:26,RT @JWongGlobalNews: Future burden of mental health in #NS pegged at $1.4 billion so is the province ready? http://t.co/BIQy7BhmSr #nspoli …
608441027872075776,2015-06-10 01:10:19,RT @CBCNews: Participaction's prescription for healthy play: get the kids outside http://t.co/7PdqP3fNlv http://t.co/34YaWvU0dU
608434276737105921,2015-06-10 00:43:30,RT @911well: A Meaningful Life... http://t.co/nSesLOkPFR
608327161158762496,2015-06-09 17:37:52,Our Project Coordinator spent this weekend with @YMCAHD for National Healthy Kids Day. #YMCAHealthyKids @macrae91 http://t.co/8bPcD6X2cK
605526464814063616,2015-06-02 00:08:54,RT @911well: Exercise... Exercise #exerciseismedicine http://t.co/uFQZ45H2Wm
602836932096356352,2015-05-25 14:01:39,RT @DanielGolemanEI: Three ways #mindfulness training can improve work relationships. http://t.co/wjS4lXWJZd @CoachElad @morethan_sound htt…
602636225741201408,2015-05-25 00:44:07,Resiliency training addresses growing demand http://t.co/pHUBQbO4TU #OpenMinds
602576866935996417,2015-05-24 20:48:15,RT @911well: http://t.co/1dh4NlrFzb
602576073189109761,2015-05-24 20:45:05,"Great series on Mental Health in the Globe this weekend. To improve mental health, tackle problems early http://t.co/fNgx1mS2mp"
600836332840181760,2015-05-20 01:31:59,RT @911well: Physician should know as much about emotions &amp; thoughts as about disease symptoms and drugs #brainhealth #mindfulness http://t…
597745743068270592,2015-05-11 12:51:05,"""If you correct your mind, the rest of your life will fall into place"" - Lao Tzu"
597744980350873600,2015-05-11 12:48:03,RT @meganseto: Some local institutions on the forefront of #mentalhealth: @airInstitutes builds resilience. @MentalHealthNS and @CMHANSDivi…
594302081722425344,2015-05-02 00:47:12,RT @911well: http://t.co/S8SK15GR2a
594109233471352834,2015-05-01 12:00:53,RT @911well: The biggest threat to our WELLBEING is STRESS.. Your MIND can't heal without absorbing positive thoughts #mindfulness http://t…
592678540803502083,2015-04-27 13:15:50,RT @Inc: Looking to be more productive? Try these books and gain some more free time. @KevinJDaum http://t.co/qK2qVadaLe
592677913734062080,2015-04-27 13:13:20,RT @Our_manPLA: Here's some #MondayMotivation Beat the Monday blues - 14 ways to make your day at work fun http://t.co/vYQZiABlzJ via @Metr…
591252396271083521,2015-04-23 14:48:50,RT @samaritans: Research suggests that #Mindfulness may be as effective as #antidepressants reports @guardian http://t.co/f66eStVO7Q
588415070402654208,2015-04-15 18:54:19,RT @JeremyCBennett: http://t.co/FyPWvrEEwr
586587643028312065,2015-04-10 17:52:47,"When communities thrive on resilience, wellness is fostered. http://t.co/ySFSwtWv56"
586164679048880128,2015-04-09 13:52:04,RT @DrLifeExpert: Mindfulness is a mind-body approach to well-being that can help you change the way you think http://t.co/8R2AHKEZoL
585800537234403329,2015-04-08 13:45:06,Spring is in the air! Take a breath. And be grateful for the sunshine today. Unseen potential lies just below the surface (under the snow)!
585477879259082754,2015-04-07 16:22:58,RT @Get_Headspace: #Mindfulness practice can significantly improve self-esteem &amp; reduce anxiety. #HeadspaceFacts #science http://t.co/iVgPv…
585136058263830528,2015-04-06 17:44:42,"RT @Jess_VirtualYOW: Interesting perspective on how Social Media can impact negatively on our ""winter blues"" http://t.co/hOcNVZ7BXL #PYOWea…"
585081178094444545,2015-04-06 14:06:37,RT @TerrieEReeves: Mental Health Therapy Through Social Networking Could Soon Be a Reality #TrainforLife #MentalWellness http://t.co/E0TWMT…
583624170610765824,2015-04-02 13:37:00,10 Steps to Building Your Resilience http://t.co/CjooiCrOmc #resilience #stress #relief #trainyourbrain
583622764164214784,2015-04-02 13:31:24,RT @MindfulOnline: Take a walk in nature to ease brain fatigue http://t.co/EVCp9huN2D from @nytimeswell #mindfulness http://t.co/jI1nXFhWHZ
582607489641902080,2015-03-30 18:17:04,RT @DanielGolemanEI: Intelligence is multifaceted. It is cognitive and emotional. @LinkedIn #education @SoLFlash  https://t.co/ALwk92JCBl
582607214130630656,2015-03-30 18:15:58,RT @DanielGolemanEI: 3 Ways to Take Control of Your Emotions http://t.co/Gva5qCM3uf @CoachElad @LinkedIn #leadership #psychology http://t.c…
582538595354992640,2015-03-30 13:43:18,"""We can do so much more together than we can as isolated individuals... we must learn to work together"" @timbuckteeth http://t.co/sK2zg0lB14"
580421022500958208,2015-03-24 17:28:50,Had a fascinating conversation with @RickyGoodall about bridging the art and science of wellbeing. Exciting things to come in #Halifax
580176774031667200,2015-03-24 01:18:16,RT @CBCNews: Mideast taboo about not revealing mother's name target of UN campaign http://t.co/xYVi2fYDwv http://t.co/GGizytvpwz
580004440230494209,2015-03-23 13:53:29,We conducted our first Train the Trainers group session this weekend with much success. We're happy to be strengthening the community!
573489601903476736,2015-03-05 14:25:50,The impact of workplace mental health on business... http://t.co/swf7EaZqfF
573183563954294784,2015-03-04 18:09:45,There are many faces to mental health...  http://t.co/o12iukGmRZ
566614598150017025,2015-02-14 15:07:02,@JMBlais1 @HfxRegPolice @RCMPNS @hfxgov
563036654798405634,2015-02-04 18:09:33,The Open House on Jan 30 was a tremendous success! Thanks to all who came out! http://t.co/l172Ua3yc4 http://t.co/cQk6zk8rbr
561119785753526272,2015-01-30 11:12:36,Air Founder Jackie Kinley is on CBC Information morning at 7:20am. Listen live at http://t.co/Q4iggc8XCt
560508585831325697,2015-01-28 18:43:55,Mental health problems and illnesses account for &gt;$6 billion in lost productivity costs due to absenteeism and presenteeism #BellLetsTalk
560490394832875521,2015-01-28 17:31:38,RT @meganseto: Those in part-time practice suffered #anxiety at 81%. Lawyers concerned with the number of hours they are working 72%. #Bell…
560484609738432512,2015-01-28 17:08:38,Language matters http://t.co/ZzHtnysAq5 #BellLetsTalk
560457287530471424,2015-01-28 15:20:04,Mental health is the leading cause of workplace disability in Canada and represents 15% of Canada’s burden of disease. #BellLetsTalk
560442839436623873,2015-01-28 14:22:40,Adults with severe mental health problems die up to 25 years earlier than other adults. http://t.co/61ZypUUkrw #BellLetsTalk
560425047043870720,2015-01-28 13:11:58,Educate Yourself http://t.co/ZzHtnysAq5 #BellLetsTalk
559793220155363328,2015-01-26 19:21:18,Our @dalmba students are breaking new ground studying @dalstartinglean Value Prop Design http://t.co/c6tnCMF2BX http://t.co/oUb5qzvuhK
558651964620546048,2015-01-23 15:46:22,We're holding an Open House on January 30th! Check it out: http://t.co/4c27ULIlV3 http://t.co/LlybHzdWqi
558280639699779585,2015-01-22 15:10:51,"At Air™, we don’t eliminate stress, we train your brain to handle it. That's why we love our #coffee #ThirstyThursday http://t.co/WJySLLf9Fp"
557622100069203969,2015-01-20 19:34:03,Air™ Institutes is launching at its new location in Halifax. Learn more at http://t.co/vcKjqozVd0 http://t.co/07K5EvgDXk
557569395569205249,2015-01-20 16:04:37,"Hey @panoptika, @Mary_Kilfoil we're finally in business on Spring Garden!  We hope to engage @thementorsgroup with our Involve program!"
557563827756498944,2015-01-20 15:42:30,Today we're excited to welcome @dalmba students @ChrisHGallant and @macrae91 to our team. They're already making waves!
557241781948260354,2015-01-19 18:22:48,air™ founder Jackie Kinley is a leading researcher mental resilience.  Check out her interview with @CBCNews at http://t.co/vcKjqozVd0
557241470965788673,2015-01-19 18:21:34,Did you know that air™ is a graduate of @dalstartinglean?  We're proud Dal entrepreneurs @Dalnews
556991675030339585,2015-01-19 01:48:58,Our new website outlines new approaches to mental strength&amp; fitness- we help you harness your internal resources- health &amp;  sustainability!
556170538281095169,2015-01-16 19:26:04,air-Institutes innovative services enhance mental fitness and resilience. Check us out!
